"{""data_time"":",eta_seconds:,iteration:,fast_rcnn/false_negative:,fast_rcnn/fg_cls_accuracy:,fast_rcnn/fg_cls_accuracy:,,loss_box_reg:,loss_cls:,loss_mask:,loss_rpn_cls:,loss_rpn_loc:,Total Loss,lr:,mask_rcnn/accuracy:,mask_rcnn/false_negative:,mask_rcnn/false_positive:,Precision,Recall,Recall,,Val,roi_head/num_bg_samples:,roi_head/num_fg_samples:,rpn/num_neg_anchors:,rpn/num_pos_anchors:,time:,total_loss:,,,Epoch,total_loss:,total_loss:,Val_loss:,,,Total Loss,,,,,,,iteration:,Total Loss,total_loss:,,,,,Epoch,Training Loss,Validation Loss,,,,,iteration:,Total Loss,,,,Epoch,Training Loss,,Validation Loss,,,,,Epoch,Training Loss,Validation Loss,,Epoch,Training,Validation
0.353498535,5766.442326,959,0.91328125,0.24598652,0.744712765,,0.382211447,0.22718773,0.268757328,0.019594966,0.131994963,1.029746434,0.002397602,0.883374023,0.1771925,0.076504796,0.920297443,0.832926557,,,1.137071319,480,160,146.625,109.375,2.583579387,1.034259574,,,959,1.021216701,2.471216701,3.040980689,,0.102974643,1.029746434,1.32,0.324,,,,,959,1.00774515,1.021216701,,,,,959,1.021216701,3.040980689,,,,,959,1.00774515,0.981253746,,,959,1.126648953,1.021216701,2.917104365,3.040980689,,,,959,0.971997012,3.276026068,,170.4888889,1.121867928,2.963373328
0.349253349,5715.521385,979,0.921191406,0.221276846,0.766455696,,0.361475259,0.200081937,0.260598674,0.018962524,0.124990232,0.966108627,0.002447552,0.885789132,0.173687779,0.076076609,0.920907247,0.836062705,,,1.13555352,486.625,153.375,148.8125,107.1875,2.582124824,0.96862508,,,979,1.017681163,2.467681163,3.031417679,,0.096610863,0.966108627,1.321,0.325,,,,,979,1.018422295,1.017681163,,,,,979,1.017681163,3.031417679,,,,,979,1.018422295,0.824161989,,,979,0.95151243,1.017681163,2.944103247,3.031417679,,,,979,1.223906072,2.879030679,,174.0444444,1.041253432,3.144487766
0.359334974,5664.030201,999,0.918457031,0.2234375,0.764054528,,0.362056598,0.208348602,0.262281641,0.019695081,0.121299688,0.97368161,0.002497503,0.885721786,0.166811778,0.073191277,0.923672667,0.841514054,,,1.125724841,481.125,158.875,146.3125,109.6875,2.569612646,0.974164076,,,979,0.98014319,2.43014319,2.984017458,,0.097368161,0.97368161,1.322,0.326,,,,,979,1.000414959,0.98014319,,,,,979,0.98014319,2.984017458,,,,,979,1.000414959,0.736392477,,,979,0.993500388,0.98014319,2.791027183,2.984017458,,,,979,1.103570608,2.828545325,,174.0444444,1.086316486,3.081342853
0.351632866,5614.692641,1019,0.924609375,0.210770253,0.782670524,,0.346999332,0.194641203,0.255491525,0.015251813,0.120899454,0.933283327,0.0025,0.889415609,0.170409855,0.073792316,0.923389007,0.839209511,,,1.133617779,486.25,153.75,147.4375,108.5625,2.561908122,0.92398184,,,979,0.978925228,2.428925228,2.979796409,,0.093328333,0.933283327,1.323,0.327,,,,,979,0.984579174,0.978925228,,,,,979,0.978925228,2.979796409,,,,,979,0.984579174,0.487638717,,,979,0.919117394,0.978925228,2.96273019,2.979796409,,,,979,0.729758476,2.883060213,,174.0444444,0.950223619,3.088807301
0.364529966,5565.110908,1039,0.925292969,0.189222403,0.802769624,,0.355238825,0.191600911,0.250315808,0.01670402,0.127233677,0.941093241,0.0025,0.890860036,0.173221404,0.073596459,0.923691261,0.837210389,,,1.137677899,480,160,145.75,110.25,2.580488543,0.927600391,,,979,1.413991855,2.863991855,3.55803454,,0.094109324,0.941093241,1.324,0.328,,,,,979,1.352352276,1.413991855,,,,,979,1.413991855,3.55803454,,,,,979,1.352352276,0.957847082,,,979,1.395660631,1.413991855,3.46903137,3.55803454,,,,979,1.603508637,3.277988762,,174.0444444,1.572977247,3.489404206
0.359415265,5514.656582,1059,0.922363281,0.21171875,0.778961305,,0.352675334,0.197496831,0.252268493,0.014771685,0.11589507,0.933107413,0.0025,0.890066205,0.166942641,0.071866737,0.925289244,0.842061264,,,1.128875582,480,160,148.9375,107.0625,2.583485323,0.934053763,,,979,0.96862508,2.41862508,2.968988972,,0.093310741,0.933107413,1.325,0.329,,,,,979,0.966108627,0.96862508,,,,,979,0.96862508,2.968988972,,,,,979,0.966108627,1.05841527,,,979,1.026356353,0.96862508,3.030766946,2.968988972,,,,979,1.041724795,3.096284479,,174.0444444,0.987746464,2.789021343
0.357067172,5463.375787,1079,0.929003906,0.195319021,0.798828125,,0.337170467,0.183244705,0.247507229,0.012380218,0.118861191,0.89916381,0.0025,0.892101058,0.16015252,0.072705483,0.924642423,0.847800451,,,1.12495906,486.25,153.75,147.875,108.125,2.548150637,0.896151071,,,979,1.00465467,2.45465467,3.014788473,,0.089916381,0.89916381,1.326,0.33,,,,,979,0.990223583,1.00465467,,,,,979,1.00465467,3.014788473,,,,,979,0.990223583,1.1894982,,,979,1.054677126,1.00465467,2.843668582,3.014788473,,,,979,1.135055025,3.019090121,,174.0444444,0.835226781,2.815811212
0.359975676,5412.004925,1099,0.93203125,0.177915188,0.812341362,,0.327116847,0.173336446,0.246626012,0.013099547,0.118177935,0.878356788,0.0025,0.893035946,0.160398559,0.071293154,0.926069685,0.847737512,,,1.124727658,480,160,149.0625,106.9375,2.557908885,0.88125205,,,999,0.979439735,2.429439735,2.980702207,,0.087835679,0.878356788,1.327,0.331,,,,,999,0.956605545,0.979439735,,,,,999,0.979439735,2.980702207,,,,,999,0.956605545,0.895108554,,,999,1.041482013,0.979439735,2.797943472,2.980702207,,,,999,0.865070532,3.004685528,,177.6,1.00193523,3.093108707
0.354873648,5360.92837,1119,0.927832031,0.201171875,0.788671875,,0.333701164,0.17868837,0.249512687,0.013994081,0.12231493,0.898211232,0.0025,0.890325231,0.170378681,0.069843929,0.927258725,0.839372063,,,1.130547841,480,160,145.5,110.5,2.578595223,0.892901682,,,999,0.992660134,2.442660134,3.001673781,,0.089821123,0.898211232,1.328,0.332,,,,,999,0.988670115,0.992660134,,,,,999,0.992660134,3.001673781,,,,,999,0.988670115,1.146802918,,,999,1.014333972,0.992660134,3.056933282,3.001673781,,,,999,0.778536553,3.237003603,,177.6,0.829488733,2.954802666
0.351666707,5310.530293,1139,0.927441406,0.180859375,0.811328125,,0.320267156,0.185599729,0.250969067,0.014119257,0.125223558,0.896178768,0.0025,0.891396355,0.161164798,0.0731089,0.92420062,0.846883198,,,1.125670053,480,160,144.625,111.375,2.580306652,0.887028368,,,999,0.997793479,2.447793479,3.00973541,,0.089617877,0.896178768,1.329,0.333,,,,,999,0.978349428,0.997793479,,,,,999,0.997793479,3.00973541,,,,,999,0.978349428,0.88804899,,,999,0.954956712,0.997793479,2.919029895,3.00973541,,,,999,1.258620837,3.161073589,,177.6,0.890016399,3.139952539
